"","team_name","PlayerName","PA","OPS","wRC_plus","xwOBA","WAR","WPA","WPA_LI","Clutch","highlight"
"1","NYY","Aaron Judge",422,1.1867,216.1701,0.462,7.1299,3.3914,4.8691,-1.2443,"Other"
"2","SEA","Cal Raleigh",406,1.022,180.7237,0.386,6.1747,2.9382,3.9068,-1.2467,"Other"
"3","CHC","Pete Crow-Armstrong",392,0.8616,137.4186,0.354,5.0323,1.9646,1.8118,0.2539,"Highlight"
"4","KCR","Bobby Witt Jr.",412,0.8578,129.2795,0.387,4.8418,2.2135,2.3819,-0.2002,"Other"
"5","LAD","Shohei Ohtani",429,0.9975,170.6229,0.43,4.3465,4.2735,3.6016,0.7757,"Other"
"6","HOU","Jeremy Peña",350,0.8672,143.8456,0.35,3.9942,1.338,1.5431,-0.2012,"Other"
"7","SDP","Fernando Tatis Jr.",404,0.8128,130.7831,0.393,3.9677,2.717,2.1862,0.4561,"Highlight"
"8","CHC","Kyle Tucker",413,0.8931,148.8861,0.392,3.8781,3.0739,2.5705,0.7071,"Highlight"
"9","WSN","James Wood",415,0.9269,154.945,0.401,3.8466,3.1085,2.5962,0.6223,"Highlight"
"10","NYM","Francisco Lindor",421,0.8,126.2133,0.348,3.7942,1.1725,1.4985,-0.286,"Other"
"11","PHI","Trea Turner",414,0.7823,117.7806,0.33,3.7437,1.0192,1.8637,-0.8167,"Other"
"12","ARI","Corbin Carroll",351,0.8914,142.7684,0.386,3.6628,1.0048,1.5534,-0.5362,"Highlight"
"13","CLE","José Ramírez",382,0.8756,138.069,0.35,3.6403,2.0909,2.4267,-0.2652,"Other"
"14","LAD","Will Smith",296,0.9782,174.3964,0.405,3.5529,2.7023,2.7054,-0.194,"Other"
"15","MIN","Byron Buxton",324,0.8828,140.6085,0.353,3.4195,2.0395,2.4209,-0.3008,"Other"
"16","ARI","Ketel Marte",292,0.9796,169.4012,0.429,3.3523,1.8266,2.4163,-0.5448,"Other"
"17","CIN","Elly De La Cruz",407,0.8532,129.6151,0.356,3.3273,1.9786,0.8495,1.1735,"Other"
"18","BOS","Ceddanne Rafaela",334,0.7916,113.7844,0.348,3.3051,1.2749,0.5558,0.6758,"Other"
"19","SDP","Manny Machado",400,0.8469,138.7838,0.389,3.1501,1.1823,1.5527,-0.4512,"Other"
"20","TOR","Alejandro Kirk",312,0.7803,119.1671,0.373,3.1156,1.3457,0.4222,0.8618,"Other"
"21","DET","Zach McKinstry",323,0.8314,132.2147,0.323,3.0359,0.9956,0.8981,0.2245,"Other"
"22","ARI","Geraldo Perdomo",418,0.7877,122.2241,0.346,3.0239,1.5085,1.0144,0.5067,"Other"
"23","NYY","Cody Bellinger",368,0.8382,131.2651,0.342,2.9831,-0.034,0.6686,-0.7043,"Other"
"24","WSN","CJ Abrams",359,0.8408,135.3208,0.348,2.9605,1.2741,1.4517,-0.1458,"Other"
"25","PHI","Kyle Schwarber",416,0.9444,159.5373,0.426,2.9535,1.9851,2.8407,-0.867,"Other"
"26","NYM","Juan Soto",415,0.91,156.5492,0.457,2.9333,2.1676,4.1289,-2.0025,"Highlight"
"27","DET","Riley Greene",389,0.8634,139.2491,0.357,2.886,0.4632,1.9694,-1.4714,"Other"
"28","ATH","Jacob Wilson",357,0.8475,134.6169,0.312,2.8718,1.7519,1.3471,0.4015,"Other"
"29","LAD","Andy Pages",369,0.8035,123.1646,0.335,2.8601,0.2256,0.6583,-0.4145,"Highlight"
"30","NYM","Pete Alonso",415,0.9072,155.6111,0.416,2.8498,3.3046,1.9058,1.264,"Other"
"31","BOS","Carlos Narváez",282,0.7875,116.1058,0.309,2.8053,0.2326,-0.1649,0.4244,"Other"
"32","ATL","Matt Olson",410,0.8377,134.1757,0.384,2.7788,1.5499,1.7378,-0.3177,"Other"
"33","HOU","Isaac Paredes",394,0.8253,132.8845,0.334,2.7248,0.6048,1.6005,-0.9724,"Other"
"34","CHC","Michael Busch",334,0.9297,161.3352,0.399,2.6763,1.1048,1.8973,-0.6587,"Other"
"35","NYY","Jazz Chisholm Jr.",264,0.8719,142.4813,0.388,2.6154,0.7181,1.4753,-0.713,"Other"
"36","TEX","Corey Seager",276,0.8575,139.1716,0.434,2.5666,0.4735,1.5344,-1.0695,"Other"
"37","HOU","Jake Meyers",322,0.7736,120.1486,0.334,2.5349,0.8565,0.1466,0.7335,"Other"
"38","STL","Masyn Winn",349,0.7038,100.0217,0.304,2.5262,-1.2438,-0.1176,-1.1264,"Other"
"39","STL","Brendan Donovan",379,0.7966,125.6363,0.366,2.5002,-0.2383,0.565,-0.8189,"Other"
"40","SFG","Matt Chapman",298,0.7905,127.8589,0.363,2.4902,0.2849,0.5005,-0.2386,"Other"
"41","BAL","Gunnar Henderson",365,0.7995,123.0599,0.339,2.472,1.4144,0.4652,1.2317,"Other"
"42","MIL","Sal Frelick",379,0.7553,115.6784,0.308,2.4628,0.3385,0.9591,-0.6104,"Other"
"43","KCR","Maikel Garcia",378,0.8181,125.3423,0.346,2.4616,0.0838,0.3594,-0.2784,"Other"
"44","ARI","Eugenio Suárez",383,0.863,134.5392,0.34,2.4065,1.9761,1.1884,0.7496,"Other"
"45","SEA","J.P. Crawford",398,0.7744,130.5954,0.351,2.3918,1.2834,0.7102,0.5165,"Other"
"46","SEA","Randy Arozarena",401,0.7928,130.2881,0.356,2.3835,0.5225,1.3406,-0.8559,"Other"
"47","BOS","Alex Bregman",230,0.9348,154.6127,0.355,2.3817,-0.0635,1.246,-1.3009,"Other"
"48","CHC","Nico Hoerner",369,0.7105,102.7328,0.304,2.3345,0.9176,0.1701,0.8541,"Other"
"49","ATL","Ronald Acuña Jr.",184,1.0404,189.8614,0.41,2.3272,1.0166,2.0272,-0.9464,"Highlight"
"50","TBR","Jonathan Aranda",354,0.8979,153.665,0.401,2.2876,1.4533,1.7821,-0.2719,"Other"
"51","NYY","Austin Wells",283,0.7484,103.442,0.306,2.2792,-0.0339,-0.021,-0.0129,"Other"
"52","SEA","Julio Rodríguez",420,0.6946,100.047,0.33,2.2643,-0.8115,0.1869,-0.8983,"Other"
"53","DET","Gleyber Torres",350,0.7952,128.9466,0.39,2.256,0.9206,1.4886,-0.3601,"Other"
"54","BAL","Ryan O'Hearn",313,0.8461,138.7386,0.379,2.2536,2.056,1.9211,0.1577,"Other"
"55","LAD","Max Muncy",315,0.8316,134.9462,0.392,2.2476,1.641,1.1649,0.6145,"Other"
"56","SDP","Xander Bogaerts",371,0.7059,102.4402,0.335,2.2375,0.0337,-0.2853,0.3167,"Other"
"57","CHC","Seiya Suzuki",398,0.8663,138.0615,0.367,2.2076,0.0989,1.6679,-1.5632,"Other"
"58","TOR","Ernie Clement",333,0.7162,99.7008,0.298,2.1813,-0.8658,-0.6573,-0.202,"Other"
"59","ATL","Sean Murphy",216,0.8279,126.8938,0.347,2.1501,1.5164,0.639,0.5947,"Other"
"60","MIA","Kyle Stowers",337,0.8592,136.8912,0.382,2.1494,0.5241,0.8069,-0.3425,"Other"
"61","TOR","Vladimir Guerrero Jr.",406,0.8232,130.734,0.404,2.129,1.5016,1.7912,-0.2635,"Other"
"62","NYM","Brandon Nimmo",375,0.7919,124.1556,0.344,2.1283,-0.6335,0.5209,-1.1514,"Other"
"63","ATL","Drake Baldwin",206,0.8409,136.2369,0.37,2.1163,-0.2242,0.5142,-0.7305,"Other"
"64","CLE","Steven Kwan",394,0.7461,111.1056,0.317,2.0984,-0.0708,0.4992,-0.5754,"Other"
"65","STL","Willson Contreras",376,0.7739,120.3915,0.372,2.0748,0.6563,0.4015,0.2333,"Other"
"66","BOS","Wilyer Abreu",298,0.8307,121.6866,0.362,2.0734,0.2531,0.7479,-0.5139,"Other"
"67","TEX","Wyatt Langford",323,0.7672,113.3257,0.347,2.0542,0.4379,0.4341,0.0306,"Other"
"68","CIN","TJ Friedl",402,0.7623,113.0533,0.305,2.05,0.3263,0.5671,-0.2212,"Other"
"69","TBR","Junior Caminero",377,0.8001,118.4964,0.338,2.0391,-0.2211,0.446,-0.654,"Other"
"70","COL","Hunter Goodman",340,0.8423,119.8267,0.334,1.9932,1.1076,0.3833,0.6755,"Other"
"71","CHC","Carson Kelly",226,0.8673,144.5731,0.363,1.992,0.1682,0.3363,-0.1396,"Other"
"72","TEX","Josh Smith",332,0.7847,121.7095,0.336,1.9735,-0.1279,0.7434,-0.8791,"Other"
"73","TOR","Addison Barger",261,0.8192,123.5887,0.368,1.9653,0.4576,0.2916,0.166,"Other"
"74","- - -","Rafael Devers",434,0.8583,136.2763,0.382,1.9629,0.5737,1.6747,-1.1769,"Other"
"75","ATH","Lawrence Butler",399,0.752,105.948,0.31,1.9587,-1.0098,0.1998,-1.2178,"Other"
"76","CHC","Dansby Swanson",392,0.7268,102.5824,0.346,1.9362,-1.3722,0.2827,-1.7745,"Other"
"77","ARI","Gabriel Moreno",188,0.7383,106.364,0.339,1.935,-0.4648,-0.3956,-0.0789,"Other"
"78","ATL","Austin Riley",408,0.7642,112.6677,0.345,1.9287,-1.4321,0.3566,-1.6876,"Other"
"79","MIL","William Contreras",381,0.6995,101.574,0.323,1.926,0.547,0.4638,0.1426,"Other"
"80","LAD","Freddie Freeman",347,0.84,133.2343,0.355,1.924,1.6657,1.2534,0.3816,"Other"
"81","MIA","Otto Lopez",319,0.7052,96.2952,0.362,1.9214,0.5703,-0.3252,0.8525,"Other"
"82","MIL","Jackson Chourio",416,0.7437,105.8548,0.305,1.9107,0.0506,0.0505,0.0036,"Other"
"83","TOR","George Springer",350,0.8692,141.5903,0.4,1.8893,2.4169,1.9925,0.3284,"Other"
"84","DET","Dillon Dingler",261,0.7108,98.8932,0.343,1.8859,0.3384,-0.0933,0.4648,"Other"
"85","NYY","Trent Grisham",305,0.8289,134.1231,0.375,1.8818,2.173,1.3819,1.0291,"Other"
"86","MIL","Brice Turang",384,0.709,104.0982,0.327,1.855,-0.5788,-0.223,-0.3542,"Other"
"87","MIL","Isaac Collins",222,0.7671,121.9284,0.315,1.8458,-0.2637,0.083,-0.3506,"Other"
"88","TOR","Bo Bichette",412,0.7618,110.5043,0.375,1.8404,1.509,0.5404,0.9082,"Other"
"89","SFG","Willy Adames",399,0.6931,96.8885,0.329,1.817,0.9067,0.0342,0.82,"Other"
"90","LAA","Zach Neto",319,0.813,122.1764,0.362,1.8125,0.1151,0.0967,0.0108,"Other"
"91","ATH","Brent Rooker",418,0.8389,130.2212,0.389,1.7925,-0.0609,0.8813,-0.9463,"Other"
"92","HOU","Cam Smith",314,0.7784,120.3329,0.344,1.7865,1.488,0.6007,0.9507,"Other"
"93","MIN","Harrison Bader",263,0.7605,112.7683,0.307,1.7737,0.7673,-0.1588,0.897,"Other"
"94","BAL","Ramón Laureano",230,0.8478,135.0831,0.35,1.7627,0.2204,0.7744,-0.5381,"Other"
"95","DET","Spencer Torkelson",374,0.8295,127.4626,0.363,1.7596,1.2914,1.1425,0.2768,"Other"
